figure_id,model,condition,layer,point_order,fpr,tpr,risk_threshold,margin_threshold,status,source
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,96,0.6593406593,0.9729729730,-24.1634540558,24.1634540558,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,97,0.6703296703,0.9729729730,-24.2275104523,24.2275104523,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,98,0.6813186813,0.9729729730,-24.2831630707,24.2831630707,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,99,0.6923076923,0.9729729730,-24.3146114349,24.3146114349,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,100,0.7032967033,0.9729729730,-24.3658847809,24.3658847809,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,101,0.7142857143,0.9729729730,-24.3848266602,24.3848266602,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,102,0.7252747253,0.9729729730,-24.4214572906,24.4214572906,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,103,0.7362637363,0.9729729730,-24.5327987671,24.5327987671,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,104,0.7472527473,0.9729729730,-24.8038101196,24.8038101196,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,105,0.7582417582,0.9729729730,-24.8165073395,24.8165073395,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,106,0.7692307692,0.9729729730,-24.8765640259,24.8765640259,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,107,0.7802197802,0.9729729730,-25.2420978546,25.2420978546,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,108,0.7912087912,0.9729729730,-25.3514804840,25.3514804840,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,109,0.8021978022,0.9729729730,-25.3902778625,25.3902778625,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,110,0.8131868132,0.9729729730,-25.6944313049,25.6944313049,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,111,0.8241758242,0.9729729730,-25.7930641174,25.7930641174,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,112,0.8351648352,0.9729729730,-25.8487606049,25.8487606049,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,113,0.8461538462,0.9729729730,-25.8660373688,25.8660373688,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,114,0.8571428571,0.9729729730,-25.8880424500,25.8880424500,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,115,0.8571428571,1.0000000000,-25.9704513550,25.9704513550,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,116,0.8681318681,1.0000000000,-26.0042037964,26.0042037964,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,117,0.8791208791,1.0000000000,-26.1795501709,26.1795501709,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,118,0.8901098901,1.0000000000,-26.7759971619,26.7759971619,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,119,0.9010989011,1.0000000000,-26.8135604858,26.8135604858,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,120,0.9120879121,1.0000000000,-27.1509132385,27.1509132385,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,121,0.9230769231,1.0000000000,-27.2556076050,27.2556076050,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,122,0.9340659341,1.0000000000,-27.4372348785,27.4372348785,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
